Timestamp,Time,Latitude,Longitude,Accuracy,DoseRate,CountRate,Comment
 ,  , , , , , ,
1.33E+17,6/4/2023 18:13,40.022248,-75.1392732,11.5,4.49,8.95,
1.33E+17,6/4/2023 18:13,40.022335,-75.1392328,10.8,4.49,8.95,
1.33E+17,6/4/2023 18:12,40.022205,-75.1393824,10.8,5.58,8.91,
1.33E+17,7/5/2023,40.021712,-75.140237,3.8,7.64,8.87,
1.33E+17,6/11/2023 18:54,40.023864,-75.1394794,5.85,5.2,8.51,
1.33E+17,6/11/2023 18:55,40.02395,-75.1395263,7.44,5.2,8.51,
1.33E+17,7/5/2023,40.021647,-75.140363,8.74,7.17,8.4,
1.33E+17,7/5/2023,40.021745,-75.1402924,12.4,7.11,8.34,
1.33E+17,7/5/2023,40.021826,-75.1402336,6.68,7.11,8.34,
1.33E+17,11/13/2023 20:23,40.0167747,-75.1206094,3.79,7.86,8.33,
1.33E+17,11/13/2023 20:23,40.0168185,-75.1208238,6.33,7.82,8.26,
1.33E+17,6/4/2023 18:13,40.022451,-75.1392277,5.79,4.99,8.26,
1.33E+17,6/4/2023 18:13,40.022537,-75.139264,5.93,4.99,8.26,
1.33E+17,11/13/2023 20:23,40.0168276,-75.1209441,5.57,7.66,8.25,
1.33E+17,11/13/2023 20:23,40.0168672,-75.1208362,5.36,7.98,8.25,
1.33E+17,11/13/2023 20:23,40.0168064,-75.1207008,5.86,7.69,8.23,
1.33E+17,6/4/2023 18:13,40.022422,-75.1392632,8.24,4.6,8.22,
1.33E+17,7/5/2023,40.02168,-75.1401982,11.4,7.02,8.21,
1.33E+17,6/4/2023 18:14,40.022717,-75.1387693,5.43,4.76,8.18,
1.33E+17,6/4/2023 18:14,40.022803,-75.138805,5.41,4.76,8.18,
1.33E+17,11/6/2023 20:39,40.018181,-75.1196071,5.04,5.09,8.17,
1.33E+17,11/6/2023 20:39,40.0181607,-75.1194915,5.41,5.09,8.17,
1.33E+17,11/13/2023 20:23,40.0169543,-75.1207948,5.71,7.83,8.16,
1.33E+17,6/4/2023 18:13,40.022358,-75.1391772,5.6,4.64,8.16,
1.33E+17,11/6/2023 20:38,40.0181513,-75.1197195,5.74,5.19,8.15,
1.33E+17,11/15/2023 19:04,40.0185757,-75.1228273,5.9,8.16,8.14,
1.33E+17,6/4/2023 18:14,40.022892,-75.1388356,5.69,5.23,8.14,
1.33E+17,6/4/2023 18:15,40.022977,-75.1387917,5.59,5.23,8.14,
1.33E+17,11/6/2023 20:38,40.0180067,-75.1196116,9.83,5.07,8.13,
1.33E+17,11/6/2023 20:38,40.0180579,-75.1197085,5.72,5.07,8.13,
1.33E+17,11/15/2023 19:02,40.017902,-75.1231343,5.99,8.41,8.13,
1.33E+17,11/13/2023 20:23,40.017041,-75.1207478,5.49,7.67,8.13,
1.33E+17,7/5/2023,40.021226,-75.1391288,9.01,7.71,8.13,
1.33E+17,7/5/2023,40.02129,-75.1390241,5.81,7.71,8.13,
1.33E+17,11/15/2023 19:04,40.0184819,-75.1232069,7.67,8.14,8.12,
1.33E+17,11/15/2023 19:04,40.0186229,-75.123057,5.86,8.12,8.12,
1.33E+17,11/15/2023 19:04,40.0186202,-75.1229392,5.89,8.11,8.12,
1.33E+17,7/5/2023,40.021915,-75.1402426,5.76,7.07,8.12,
1.33E+17,11/6/2023 20:39,40.0181415,-75.1193746,8.18,5.11,8.11,
1.33E+17,11/15/2023 19:04,40.0184181,-75.1233086,8.9,8.07,8.11,
1.33E+17,11/15/2023 19:03,40.0182297,-75.1232472,10.6,8.08,8.1,
1.33E+17,11/15/2023 19:03,40.0183732,-75.1234117,10.2,7.95,8.1,
1.33E+17,11/15/2023 19:04,40.0185885,-75.1225868,8.73,7.82,8.1,
