ime,dat,latitude,longitude,,,count,
1.33E+17,6/11/2023 19:18,40.023347,-75.1386246,3.79,2.54,2.72, 
1.33E+17,6/11/2023 19:18,40.023344,-75.1384982,3.79,2.54,2.72, 
1.33E+17,6/11/2023 19:18,40.023305,-75.1382976,3.93,2.54,2.72, 
1.33E+17,6/11/2023 19:18,40.023266,-75.1381036,3.88,2.54,2.72, 
1.33E+17,6/11/2023 19:18,40.023249,-75.1379326,3.88,2.54,2.72, 
1.33E+17,6/11/2023 19:18,40.023238,-75.1378146,3.79,2.54,2.72, 
1.33E+17,6/8/2023 19:17,40.014996,-75.1474214,5.67,2.11,2.78, 
1.33E+17,6/8/2023 19:17,40.014996,-75.1474214,5.67,2.11,2.78, 
1.33E+17,7/5/2023,40.021892,-75.1273500,3.79,2.43,2.79, 
1.33E+17,7/5/2023,40.021888,-75.1272003,3.79,2.43,2.79, 
1.33E+17,7/5/2023,40.021880,-75.1270485,3.79,2.43,2.79, 
1.33E+17,7/5/2023,40.021868,-75.1268996,3.79,2.43,2.79, 
1.33E+17,6/8/2023 19:16,40.015370,-75.1501690,5.67,2.39,2.8, 
1.33E+17,6/8/2023 19:16,40.015370,-75.1501690,5.67,2.39,2.8, 
1.33E+17,6/8/2023 19:15,40.015358,-75.1500174,5.67,2.39,2.8, 
1.33E+17,6/8/2023 19:15,40.015358,-75.1500174,5.67,2.39,2.8, 
1.33E+17,7/5/2023,40.022387,-75.1312185,10.1,2.03,2.81, 
1.33E+17,7/5/2023,40.022376,-75.1310818,10.1,2.03,2.81, 
1.33E+17,7/5/2023,40.022348,-75.1308934,10.2,2.03,2.81, 
1.33E+17,7/5/2023,40.021947,-75.1276240,10.1,2.42,2.81, 
1.33E+17,7/5/2023,40.021924,-75.1274992,10,2.42,2.81, 
1.33E+17,6/8/2023 19:17,40.015189,-75.1489013,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015189,-75.1489013,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015151,-75.1486062,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015151,-75.1486062,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015109,-75.1482966,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015109,-75.1482966,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015067,-75.1479875,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015067,-75.1479875,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015033,-75.1477307,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015033,-75.1477307,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015014,-75.1475372,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.015014,-75.1475372,5.67,2.23,2.82, 
1.33E+17,6/8/2023 19:17,40.014977,-75.1472488,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014977,-75.1472488,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014956,-75.1470469,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014956,-75.1470469,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014925,-75.1468073,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014925,-75.1468073,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014875,-75.1465617,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014875,-75.1465617,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014780,-75.1463012,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014780,-75.1463012,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014669,-75.1460220,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.014669,-75.1460220,5.67,2.07,2.83, 
1.33E+17,6/8/2023 19:17,40.015324,-75.1500455,5.67,2.29,2.84, 
1.33E+17,6/8/2023 19:17,40.015324,-75.1500455,5.67,2.29,2.84, 
1.33E+17,6/8/2023 19:17,40.015279,-75.1496561,5.67,2.29,2.84, 
1.33E+17,6/8/2023 19:17,40.015279,-75.1496561,5.67,2.29,2.84, 
1.33E+17,6/8/2023 19:17,40.015225,-75.1491801,5.67,2.29,2.84, 
1.33E+17,6/8/2023 19:17,40.015225,-75.1491801,5.67,2.29,2.84, 
1.33E+17,7/5/2023,40.020555,-75.1390453,4.57,4.14,2.84, 
1.33E+17,7/5/2023,40.020650,-75.1390300,7.95,4.14,2.84, 
1.33E+17,7/5/2023,40.020752,-75.1390122,7.7,4.14,2.84, 
1.33E+17,7/5/2023,40.020853,-75.1389929,4.05,4.14,2.84, 
1.33E+17,7/5/2023,40.020963,-75.1389884,3.8,4.14,2.84, 
1.33E+17,7/5/2023,40.022331,-75.1307234,10.2,1.92,2.84, 
1.33E+17,7/5/2023,40.022317,-75.1305872,11,1.92,2.84, 
1.33E+17,7/5/2023,40.022303,-75.1304101,11,1.92,2.84, 
1.33E+17,7/5/2023,40.022276,-75.1301970,9.96,1.92,2.84, 
1.33E+17,7/5/2023,40.022242,-75.1299639,10,1.92,2.84, 
1.33E+17,7/5/2023,40.022209,-75.1297170,10.1,1.92,2.84, 
1.33E+17,7/5/2023,40.022035,-75.1284293,10.4,1.9,2.84, 
1.33E+17,7/5/2023,40.022018,-75.1282660,10.4,1.9,2.84, 
1.33E+17,7/5/2023,40.021998,-75.1280979,10.4,1.9,2.84, 
1.33E+17,7/5/2023,40.021984,-75.1279484,10.4,1.9,2.84, 
1.33E+17,7/5/2023,40.021970,-75.1278214,10.3,1.9,2.84, 
1.33E+17,6/11/2023 19:18,40.023196,-75.1375867,3.79,2.82,2.85, 
1.33E+17,6/11/2023 19:18,40.023163,-75.1373853,3.81,2.82,2.85, 
1.33E+17,6/11/2023 19:18,40.023110,-75.1372268,3.81,2.82,2.85, 
1.33E+17,6/11/2023 19:18,40.023022,-75.1371189,3.79,2.82,2.85, 
1.33E+17,6/11/2023 19:18,40.022928,-75.1370667,3.79,2.82,2.85, 
1.33E+17,6/8/2023 19:17,40.014543,-75.1457210,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014543,-75.1457210,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014411,-75.1454039,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014411,-75.1454039,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014278,-75.1450812,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014278,-75.1450812,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014142,-75.1447497,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014142,-75.1447497,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014010,-75.1444178,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.014010,-75.1444178,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.013872,-75.1440804,5.67,2.27,2.87, 
1.33E+17,6/8/2023 19:17,40.013872,-75.1440804,5.67,2.27,2.87, 
1.33E+17,6/8/2023 18:52,40.023589,-75.1398476,5.67,2.23,2.87, 
1.33E+17,6/8/2023 18:52,40.023589,-75.1398476,5.67,2.23,2.87, 
1.33E+17,7/5/2023,40.022552,-75.1324657,10.7,2.03,2.88, 
1.33E+17,7/5/2023,40.022527,-75.1322609,10.6,2.03,2.88, 
1.33E+17,7/5/2023,40.022501,-75.1320454,10.5,2.03,2.88, 
1.33E+17,7/5/2023,40.022476,-75.1318243,10.3,2.03,2.88, 
1.33E+17,7/5/2023,40.022445,-75.1315986,10.2,2.03,2.88, 
1.33E+17,7/5/2023,40.022414,-75.1313905,10.2,2.03,2.88, 
1.33E+17,7/5/2023,40.022182,-75.1294723,10.2,1.86,2.88, 
1.33E+17,7/5/2023,40.022158,-75.1292217,10.3,1.86,2.88, 
1.33E+17,7/5/2023,40.022129,-75.1289708,10.3,1.86,2.88, 
1.33E+17,7/5/2023,40.022094,-75.1287378,10.2,1.86,2.88, 
1.33E+17,7/5/2023,40.022071,-75.1285627,10.3,1.86,2.88, 
1.33E+17,7/5/2023,40.021857,-75.1267730,3.79,2.31,2.88, 
1.33E+17,7/5/2023,40.021842,-75.1265776,3.79,2.31,2.88, 
1.33E+17,7/5/2023,40.021831,-75.1264412,3.79,2.31,2.88, 
1.33E+17,6/11/2023 18:37,40.020047,-75.1312011,3.79,1.9,2.89, 
1.33E+17,6/11/2023 18:37,40.020150,-75.1311516,3.79,1.9,2.89, 
1.33E+17,6/11/2023 18:37,40.020299,-75.1311154,3.79,1.9,2.89, 
1.33E+17,7/5/2023,40.016354,-75.1292419,3.82,2.24,2.89, 
1.33E+17,7/5/2023,40.016506,-75.1290777,3.93,2.24,2.89, 
1.33E+17,7/5/2023,40.016671,-75.1288928,3.96,2.24,2.89, 
1.33E+17,7/5/2023,40.016833,-75.1287116,3.96,2.24,2.89, 
1.33E+17,7/5/2023,40.016984,-75.1285403,3.86,2.24,2.89, 
1.33E+17,7/5/2023,40.017115,-75.1283964,3.79,2.24,2.89, 
1.33E+17,7/5/2023,40.019056,-75.1271454,3.82,2.25,2.89, 
1.33E+17,7/5/2023,40.019176,-75.1270924,3.83,2.25,2.89, 
1.33E+17,7/5/2023,40.019290,-75.1270455,3.89,2.25,2.89, 
1.33E+17,7/5/2023,40.019453,-75.1269864,4.41,2.25,2.89, 
1.33E+17,7/5/2023,40.019557,-75.1269330,4.14,2.29,2.89, 
1.33E+17,7/5/2023,40.021804,-75.1263193,5.48,2.42,2.89, 
1.33E+17,7/5/2023,40.021782,-75.1261356,4.3,2.42,2.89, 
1.33E+17,7/5/2023,40.021707,-75.1260509,5.22,2.42,2.89, 
1.33E+17,6/8/2023 19:15,40.015573,-75.1498782,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.015573,-75.1498782,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.015833,-75.1498224,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.015833,-75.1498224,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.016042,-75.1497777,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.016042,-75.1497777,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.016257,-75.1497320,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.016257,-75.1497320,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.016464,-75.1496898,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.016464,-75.1496898,5.67,2.35,2.91, 
1.33E+17,6/8/2023 19:15,40.016651,-75.1496566,5.67,2.42,2.91, 
1.33E+17,6/8/2023 19:15,40.016651,-75.1496566,5.67,2.42,2.91, 
1.33E+17,6/8/2023 19:15,40.017005,-75.1495590,11.1,2.42,2.91, 
1.33E+17,6/8/2023 19:15,40.017005,-75.1495590,11.1,2.42,2.91, 
1.33E+17,6/8/2023 19:15,40.016942,-75.1492806,7.89,2.42,2.91, 
1.33E+17,6/8/2023 19:15,40.016942,-75.1492806,7.89,2.42,2.91, 
1.33E+17,6/8/2023 19:18,40.013740,-75.1437569,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013740,-75.1437569,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013624,-75.1434751,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013624,-75.1434751,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013520,-75.1432187,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013520,-75.1432187,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013422,-75.1429689,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013422,-75.1429689,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013322,-75.1427250,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013322,-75.1427250,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013240,-75.1425259,5.67,2.3,2.91, 
1.33E+17,6/8/2023 19:18,40.013240,-75.1425259,5.67,2.3,2.91, 
1.33E+17,7/5/2023,40.017271,-75.1282366,3.79,2.18,2.91, 
1.33E+17,7/5/2023,40.017443,-75.1280883,3.79,2.18,2.91, 
1.33E+17,7/5/2023,40.017617,-75.1279472,3.79,2.18,2.91, 
1.33E+17,7/5/2023,40.017787,-75.1278162,3.79,2.18,2.91, 
1.33E+17,7/5/2023,40.017950,-75.1276976,3.86,2.18,2.91, 
1.33E+17,7/5/2023,40.018105,-75.1276005,3.86,2.18,2.91, 
1.33E+17,7/5/2023,40.019719,-75.1268754,4.08,2.29,2.92, 
1.33E+17,7/5/2023,40.019825,-75.1268194,3.99,2.29,2.92, 
1.33E+17,7/5/2023,40.019945,-75.1267649,4.1,2.29,2.92, 
1.33E+17,7/5/2023,40.020069,-75.1267138,4.31,2.29,2.92, 
1.33E+17,6/8/2023 18:52,40.023487,-75.1398330,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023487,-75.1398330,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023463,-75.1396906,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023463,-75.1396906,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023447,-75.1395648,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023447,-75.1395648,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023167,-75.1394635,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023167,-75.1394635,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023380,-75.1394458,5.67,2.15,2.93, 
1.33E+17,6/8/2023 18:52,40.023380,-75.1394458,5.67,2.15,2.93, 
1.33E+17,7/5/2023,40.022727,-75.1361604,10.7,2,2.93, 
1.33E+17,7/5/2023,40.022833,-75.1360999,11.8,2,2.93, 
1.33E+17,7/5/2023,40.022865,-75.1359588,6.61,2.08,2.93, 
