Timestamp,Time,Latitude,Longitude,Accuracy,DoseRate,CountRate,Comment
1.33E+17,11/17/2023 18:29,40.0177045,-75.1208968,6.66,8.95,9.2, 
1.33E+17,11/17/2023 18:30,40.0177973,-75.1208878,5.61,9.04,9.18, 
1.33E+17,11/17/2023 18:29,40.0176141,-75.1209348,5.27,8.88,9.17, 
1.33E+17,11/17/2023 18:28,40.0171673,-75.1206767,5.77,9.21,9.16, 
1.33E+17,11/17/2023 18:30,40.0178565,-75.1209797,5.16,8.83,9.14, 
1.33E+17,11/17/2023 18:28,40.017243,-75.120742,5.55,8.85,9.11, 
1.33E+17,11/17/2023 18:28,40.0170811,-75.1206402,5.51,9.05,9.09, 
1.33E+17,11/17/2023 18:28,40.0172522,-75.1208633,5.58,8.59,9.08, 
1.33E+17,11/17/2023 18:29,40.0174427,-75.1208457,5.27,8.74,9.06, 
1.33E+17,11/17/2023 18:29,40.0175281,-75.1208874,5.26,8.62,9.06, 
1.33E+17,11/17/2023 18:29,40.0173428,-75.1208939,5.35,8.66,8.99, 
1.33E+17,11/17/2023 18:28,40.0170007,-75.1205815,5.07,8.59,8.94, 
1.33E+17,11/17/2023 18:30,40.0179307,-75.1210509,7.81,9.02,8.92, 
1.33E+17,11/17/2023 18:30,40.018017,-75.1210855,5.94,8.77,8.84, 
1.33E+17,11/17/2023 18:28,40.0169215,-75.1205176,5.45,8.24,8.83, 
1.33E+17,11/17/2023 18:30,40.0181019,-75.1211267,6.26,8.77,8.77, 
1.33E+17,11/17/2023 18:27,40.0167721,-75.1203582,5.3,8.34,8.76, 
1.33E+17,11/17/2023 18:27,40.0168438,-75.1204361,8.5,8.26,8.71, 
1.33E+17,11/17/2023 18:30,40.0181828,-75.1211875,5.93,8.81,8.71, 
1.33E+17,11/17/2023 18:31,40.0182462,-75.121278,5.6,9.08,8.71, 
1.33E+17,11/17/2023 18:31,40.0182703,-75.121397,5.73,9.06,8.7, 
1.33E+17,11/17/2023 18:31,40.0184229,-75.1215082,5.4,9.13,8.68, 
1.33E+17,11/17/2023 18:31,40.0183582,-75.1214264,5.27,9.25,8.67, 
1.33E+17,11/17/2023 18:27,40.0167186,-75.1202605,5.79,8.64,8.62, 
1.33E+17,11/17/2023 18:31,40.0184657,-75.1214021,5.41,8.94,8.53, 
1.33E+17,11/17/2023 18:38,40.0172249,-75.120471,5.37,8.71,8.52, 
1.33E+17,11/17/2023 18:32,40.0184143,-75.1205557,5.98,8.64,8.46, 
1.33E+17,11/17/2023 18:38,40.0171334,-75.120424,5.53,8.74,8.45, 
1.33E+17,11/17/2023 18:39,40.0170355,-75.1204003,5.87,8.76,8.45, 
