Track:,9/16/2023,15-56-26b,RC-102-000104,EC,,,
Timestamp,Time,Latitude,Longitude,Accuracy,DoseRate,CountRate,Comment
1.33394E+17,9/16/2023,19:56:34,40.0214335,-75.1482258,5.67,2.48,3.14
1.33394E+17,9/16/2023,19:56:42,40.0214462,-75.1482879,5.67,2.48,3.14
1.33394E+17,9/16/2023,19:56:46,40.0214653,-75.1484557,5.67,2.53,3.14
1.33394E+17,9/16/2023,19:56:48,40.0214135,-75.1485701,5.67,2.53,3.14
1.33394E+17,9/16/2023,19:56:51,40.0211977,-75.1486415,5.67,2.53,3.14
1.33394E+17,9/16/2023,19:56:53,40.0210123,-75.1486811,5.67,2.53,3.14
1.33394E+17,9/16/2023,19:56:55,40.0208085,-75.1487238,5.67,2.53,3.14
1.33394E+17,9/16/2023,19:56:57,40.0205984,-75.1487681,5.67,2.45,3.04
1.33394E+17,9/16/2023,19:56:59,40.0203821,-75.1488183,5.67,2.45,3.04
1.33394E+17,9/16/2023,19:57:01,40.0201581,-75.1488696,5.67,2.45,3.04
1.33394E+17,9/16/2023,19:57:03,40.0199336,-75.1489172,5.67,2.45,3.04
1.33394E+17,9/16/2023,19:57:08,40.0193701,-75.149034,5.67,2.39,3
1.33394E+17,9/16/2023,19:57:10,40.019136,-75.1490845,5.67,2.39,3
1.33394E+17,9/16/2023,19:57:12,40.0189283,-75.1491312,5.67,2.39,3
1.33394E+17,9/16/2023,19:57:14,40.018731,-75.149173,5.67,2.39,3
1.33394E+17,9/16/2023,19:57:16,40.0185436,-75.1492139,5.67,2.39,3
1.33394E+17,9/16/2023,19:57:18,40.0183685,-75.1492534,5.67,2.39,3
1.33394E+17,9/16/2023,19:57:20,40.0181915,-75.1492951,5.67,2.5,3.02
1.33394E+17,9/16/2023,19:57:22,40.0180101,-75.149337,5.67,2.5,3.02
1.33394E+17,9/16/2023,19:57:25,40.0177523,-75.1493944,5.67,2.5,3.02
1.33394E+17,9/16/2023,19:57:27,40.0176327,-75.1494265,5.67,2.5,3.02
1.33394E+17,9/16/2023,19:57:29,40.0175073,-75.1494559,5.67,2.5,3.02
1.33394E+17,9/16/2023,19:57:31,40.0173562,-75.1494836,5.67,2.53,2.97
1.33394E+17,9/16/2023,19:57:33,40.017229,-75.1495088,5.67,2.53,2.97
1.33394E+17,9/16/2023,19:58:11,40.0171224,-75.1495257,5.67,2.63,3
1.33394E+17,9/16/2023,19:58:17,40.0166996,-75.149615,5.67,2.63,3
1.33394E+17,9/16/2023,19:58:19,40.0164763,-75.1496631,5.67,2.63,3
1.33394E+17,9/16/2023,19:58:21,40.0162265,-75.1497189,5.67,2.63,3
