Timestamp,Time,Latitude,Longitude,Accuracy,DoseRate,CountRate,Comment
1.33E+17,8/15/2023 15:41,40.0168817,-75.1811155,3.85,2.46,2.22, 
1.33E+17,8/15/2023 15:42,40.016757,-75.1809506,3.79,2.4,2.33, 
1.33E+17,8/15/2023 15:42,40.016658,-75.1808235,3.79,2.4,2.33, 
1.33E+17,8/15/2023 15:42,40.0165284,-75.1806761,3.79,2.4,2.33, 
1.33E+17,8/15/2023 15:42,40.0163831,-75.1805108,3.79,2.4,2.33, 
1.33E+17,8/15/2023 15:42,40.0162474,-75.1803588,3.79,2.4,2.33, 
1.33E+17,8/15/2023 15:42,40.0161347,-75.1802427,3.91,2.4,2.33, 
1.33E+17,8/15/2023 15:42,40.0160529,-75.1801607,4.13,2.5,2.45, 
1.33E+17,8/15/2023 15:43,40.0159557,-75.1800433,3.92,2.5,2.45, 
1.33E+17,8/15/2023 15:43,40.015802,-75.1798377,3.79,2.48,2.64, 
1.33E+17,8/15/2023 15:43,40.0156725,-75.1796697,3.79,2.48,2.64, 
1.33E+17,8/15/2023 15:43,40.0155329,-75.1794989,3.79,2.48,2.64, 
1.33E+17,8/15/2023 15:43,40.0153938,-75.1793277,3.83,2.48,2.64, 
1.33E+17,8/15/2023 15:43,40.0152479,-75.1791621,3.83,2.48,2.64, 
1.33E+17,8/15/2023 15:43,40.0151052,-75.1790095,3.83,2.31,2.77, 
1.33E+17,8/15/2023 15:43,40.0149813,-75.1788625,3.79,2.31,2.77, 
1.33E+17,8/15/2023 15:43,40.0148803,-75.1787356,3.79,2.31,2.77, 
1.33E+17,8/15/2023 15:43,40.0148112,-75.1786413,3.79,2.31,2.77, 
1.33E+17,8/15/2023 15:44,40.0147232,-75.1785336,5.73,2.22,2.77, 
1.33E+17,8/15/2023 15:44,40.0145494,-75.1783414,3.79,2.22,2.77, 
1.33E+17,8/15/2023 15:44,40.0144239,-75.1781949,3.79,2.22,2.77, 
1.33E+17,8/15/2023 15:44,40.0142947,-75.1780581,3.79,2.22,2.77, 
1.33E+17,8/15/2023 15:44,40.0141508,-75.1779178,5.84,2.15,2.8, 
1.33E+17,8/15/2023 15:44,40.013979,-75.1777538,7.89,2.15,2.8, 
1.33E+17,8/15/2023 15:44,40.0137875,-75.1775773,10.1,2.15,2.8, 
1.33E+17,8/15/2023 15:44,40.013577,-75.1773975,10.2,2.15,2.8, 
1.33E+17,8/15/2023 15:44,40.0133689,-75.1772113,10.4,2.15,2.8, 
1.33E+17,8/15/2023 15:44,40.0131571,-75.1770187,10.2,2.13,2.81, 
1.33E+17,8/15/2023 15:44,40.012926,-75.1768083,10.2,2.13,2.81, 
1.33E+17,8/15/2023 15:44,40.0126885,-75.1765949,9.94,2.13,2.81, 
1.33E+17,8/15/2023 15:44,40.0124569,-75.1764018,7.89,2.13,2.81, 
1.33E+17,8/15/2023 15:44,40.0122735,-75.1762467,5.84,2.13,2.81, 
1.33E+17,8/15/2023 15:44,40.0121565,-75.176155,3.79,1.94,2.93, 
1.33E+17,8/15/2023 15:45,40.0120573,-75.1760516,4.52,1.87,2.96, 
1.33E+17,8/15/2023 15:45,40.0119615,-75.1759621,4.16,1.87,2.96, 
1.33E+17,8/15/2023 15:45,40.0117873,-75.1758082,4.18,1.87,2.96, 
1.33E+17,8/15/2023 15:45,40.0116175,-75.1756465,4.33,1.87,2.96, 
